 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 12/06 | 23:12 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.053|41.102|42.753| 294480|      0|          12589   |            670   |
| 12/06 | 23:15 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           5452   |            653   |
| 12/06 | 23:18 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.053|41.102|42.753| 294480|      0|           5476   |            652   |
| 12/06 | 23:20 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.867|41.024|42.713| 306000|      0|           5494   |            667   |
| 12/06 | 23:24 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|           5771   |            653   |
| 12/06 | 23:28 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           5395   |            644   |
| 12/06 | 23:34 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.867|41.024|42.713| 306000|      0|           5613   |            654   |
| 12/06 | 23:39 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.867|41.024|42.713| 306000|      0|         183821   |            670   |
| 12/06 | 23:40 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           9107   |            665   |
| 12/06 | 23:46 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|          17788   |            646   |
| 12/07 | 00:02 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|          19334   |            659   |
| 12/07 | 00:02 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|           7525   |            676   |
| 12/07 | 00:03 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           8151   |            647   |
